
+------------------------------------------------------------+
|             PrintKurox -- Windows Print Daemon             |
|          Manual Duplex (Scenario B) + Silent Print         |
+------------------------------------------------------------+

[23:04:59] [94m[INFO][0m Printer Target: EPSON L3210 Series
[23:04:59] [92m[SUCCESS][0m SumatraPDF Engine: C:\Users\Richard Konsam\Desktop\DEVANANDA\autoprint\daemon\sumatra\SumatraPDF-3.5.2-64.exe
[00:13:17] [94m[INFO][0m Heartbeat written to D1
[00:13:48] [94m[INFO][0m Heartbeat written to D1
[00:14:19] [94m[INFO][0m Heartbeat written to D1
[00:14:49] [94m[INFO][0m Heartbeat written to D1
[00:15:20] [94m[INFO][0m Heartbeat written to D1
[00:15:51] [94m[INFO][0m Heartbeat written to D1
[00:16:24] [94m[INFO][0m Heartbeat written to D1
[00:16:55] [94m[INFO][0m Heartbeat written to D1
[00:17:27] [94m[INFO][0m Heartbeat written to D1
[00:17:58] [94m[INFO][0m Heartbeat written to D1
[00:18:30] [94m[INFO][0m Heartbeat written to D1
[00:19:01] [94m[INFO][0m Heartbeat written to D1
[00:19:32] [94m[INFO][0m Heartbeat written to D1
[00:20:04] [94m[INFO][0m Heartbeat written to D1
[00:20:35] [94m[INFO][0m Heartbeat written to D1
[00:21:05] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:21:12] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:21:20] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:21:27] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:21:34] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:21:42] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:21:49] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:21:57] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:22:04] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:22:11] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:22:19] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:22:26] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:22:33] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:22:41] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:22:48] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:22:56] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:23:03] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:23:10] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:23:18] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:23:25] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:23:32] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:23:40] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:23:47] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:23:54] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:24:02] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:24:09] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:24:16] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:24:23] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:24:31] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:24:39] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:24:46] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:24:53] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:25:01] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:25:08] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:25:15] [93m[WARN][0m Network error communicating with Cloudflare: HTTPSConnectionPool(host='api.cloudflare.com', port=443): Max retries exceeded with url: /client/v4/accounts/948fd75d8b84a5cf20559d6aa789d4dd/d1/database/3f4d4547-e86b-4cdd-a867-9ebba19c12c9/query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1032)'))). Retrying in 5s...
[00:25:25] [94m[INFO][0m Heartbeat written to D1
[00:25:55] [94m[INFO][0m Heartbeat written to D1
[00:26:25] [94m[INFO][0m Heartbeat written to D1
[00:26:59] [94m[INFO][0m Heartbeat written to D1
[00:27:28] [94m[INFO][0m Heartbeat written to D1
[00:27:59] [94m[INFO][0m Heartbeat written to D1
[00:28:31] [94m[INFO][0m Heartbeat written to D1
[00:29:02] [94m[INFO][0m Heartbeat written to D1
[00:29:33] [94m[INFO][0m Heartbeat written to D1
[00:30:06] [94m[INFO][0m Heartbeat written to D1
[00:30:35] [94m[INFO][0m Heartbeat written to D1
[00:31:06] [94m[INFO][0m Heartbeat written to D1
[00:31:37] [94m[INFO][0m Heartbeat written to D1
[00:32:08] [94m[INFO][0m Heartbeat written to D1
[00:32:39] [94m[INFO][0m Heartbeat written to D1
[00:33:10] [94m[INFO][0m Heartbeat written to D1
[00:33:42] [94m[INFO][0m Heartbeat written to D1
[00:34:13] [94m[INFO][0m Heartbeat written to D1
[00:34:44] [94m[INFO][0m Heartbeat written to D1
[00:35:16] [94m[INFO][0m Heartbeat written to D1
[00:35:47] [94m[INFO][0m Heartbeat written to D1
[00:36:18] [94m[INFO][0m Heartbeat written to D1
[00:36:50] [94m[INFO][0m Heartbeat written to D1
[00:37:21] [94m[INFO][0m Heartbeat written to D1
